연도,월,지역,카테고리,상품명,판매수량,단가,매출금액,담당자
2025,1,서울,전자제품,노트북 A15,45,1200000,54000000,김민준
2025,1,서울,전자제품,무선이어폰 Pro,210,89000,18690000,김민준
2025,1,서울,가전,공기청정기 Clean10,32,350000,11200000,이서연
2025,1,부산,전자제품,노트북 A15,28,1200000,33600000,박지훈
2025,1,부산,가전,공기청정기 Clean10,19,350000,6650000,박지훈
2025,1,대구,전자제품,무선이어폰 Pro,87,89000,7743000,최수아
2025,1,인천,전자제품,태블릿 Tab8,55,650000,35750000,정우진
2025,1,인천,가전,로봇청소기 RoboClean,41,480000,19680000,정우진
2025,2,서울,전자제품,노트북 A15,62,1200000,74400000,김민준
2025,2,서울,전자제품,무선이어폰 Pro,315,89000,28035000,김민준
2025,2,서울,가전,공기청정기 Clean10,44,350000,15400000,이서연
2025,2,서울,가전,로봇청소기 RoboClean,29,480000,13920000,이서연
2025,2,부산,전자제품,노트북 A15,35,1200000,42000000,박지훈
2025,2,부산,전자제품,태블릿 Tab8,48,650000,31200000,박지훈
2025,2,대구,전자제품,무선이어폰 Pro,102,89000,9078000,최수아
2025,2,대구,가전,공기청정기 Clean10,25,350000,8750000,최수아
2025,2,인천,전자제품,태블릿 Tab8,67,650000,43550000,정우진
2025,3,서울,전자제품,노트북 A15,78,1200000,93600000,김민준
2025,3,서울,전자제품,무선이어폰 Pro,445,89000,39605000,김민준
2025,3,서울,전자제품,태블릿 Tab8,89,650000,57850000,이서연
2025,3,서울,가전,공기청정기 Clean10,56,350000,19600000,이서연
2025,3,부산,전자제품,노트북 A15,41,1200000,49200000,박지훈
2025,3,부산,전자제품,무선이어폰 Pro,178,89000,15842000,박지훈
2025,3,대구,전자제품,태블릿 Tab8,44,650000,28600000,최수아
2025,3,인천,전자제품,노트북 A15,33,1200000,39600000,정우진
2025,3,인천,가전,로봇청소기 RoboClean,52,480000,24960000,정우진
2025,4,서울,전자제품,노트북 A15,55,1200000,66000000,김민준
2025,4,서울,전자제품,무선이어폰 Pro,380,89000,33820000,김민준
2025,4,서울,가전,공기청정기 Clean10,48,350000,16800000,이서연
2025,4,부산,전자제품,태블릿 Tab8,60,650000,39000000,박지훈
2025,4,부산,가전,로봇청소기 RoboClean,35,480000,16800000,박지훈
2025,4,대구,전자제품,노트북 A15,22,1200000,26400000,최수아
2025,4,대구,전자제품,무선이어폰 Pro,95,89000,8455000,최수아
2025,4,인천,전자제품,태블릿 Tab8,73,650000,47450000,정우진
2025,5,서울,전자제품,노트북 A15,49,1200000,58800000,김민준
2025,5,서울,전자제품,무선이어폰 Pro,290,89000,25810000,김민준
2025,5,서울,전자제품,태블릿 Tab8,95,650000,61750000,이서연
2025,5,서울,가전,공기청정기 Clean10,62,350000,21700000,이서연
2025,5,부산,전자제품,노트북 A15,37,1200000,44400000,박지훈
2025,5,부산,전자제품,태블릿 Tab8,55,650000,35750000,박지훈
2025,5,대구,가전,공기청정기 Clean10,38,350000,13300000,최수아
2025,5,인천,전자제품,노트북 A15,28,1200000,33600000,정우진
2025,5,인천,가전,로봇청소기 RoboClean,47,480000,22560000,정우진
2025,6,서울,전자제품,노트북 A15,71,1200000,85200000,김민준
2025,6,서울,전자제품,무선이어폰 Pro,520,89000,46280000,김민준
2025,6,서울,전자제품,태블릿 Tab8,110,650000,71500000,이서연
2025,6,서울,가전,공기청정기 Clean10,75,350000,26250000,이서연
2025,6,부산,전자제품,노트북 A15,48,1200000,57600000,박지훈
2025,6,부산,전자제품,무선이어폰 Pro,210,89000,18690000,박지훈
2025,6,대구,전자제품,태블릿 Tab8,58,650000,37700000,최수아
2025,6,인천,전자제품,노트북 A15,40,1200000,48000000,정우진
2025,6,인천,가전,로봇청소기 RoboClean,63,480000,30240000,정우진
2025,7,서울,전자제품,노트북 A15,58,1200000,69600000,김민준
2025,7,서울,전자제품,무선이어폰 Pro,395,89000,35155000,김민준
2025,7,서울,가전,공기청정기 Clean10,52,350000,18200000,이서연
2025,7,부산,전자제품,태블릿 Tab8,68,650000,44200000,박지훈
2025,7,부산,가전,로봇청소기 RoboClean,40,480000,19200000,박지훈
2025,7,대구,전자제품,노트북 A15,29,1200000,34800000,최수아
2025,7,인천,전자제품,무선이어폰 Pro,155,89000,13795000,정우진
2025,8,서울,전자제품,노트북 A15,63,1200000,75600000,김민준
2025,8,서울,전자제품,무선이어폰 Pro,430,89000,38270000,김민준
2025,8,서울,전자제품,태블릿 Tab8,102,650000,66300000,이서연
2025,8,부산,전자제품,노트북 A15,44,1200000,52800000,박지훈
2025,8,부산,전자제품,태블릿 Tab8,71,650000,46150000,박지훈
2025,8,대구,가전,공기청정기 Clean10,41,350000,14350000,최수아
2025,8,인천,전자제품,노트북 A15,35,1200000,42000000,정우진
2025,8,인천,가전,로봇청소기 RoboClean,55,480000,26400000,정우진
2025,9,서울,전자제품,노트북 A15,80,1200000,96000000,김민준
2025,9,서울,전자제품,무선이어폰 Pro,480,89000,42720000,김민준
2025,9,서울,전자제품,태블릿 Tab8,115,650000,74750000,이서연
2025,9,서울,가전,공기청정기 Clean10,68,350000,23800000,이서연
2025,9,부산,전자제품,노트북 A15,52,1200000,62400000,박지훈
2025,9,부산,전자제품,무선이어폰 Pro,245,89000,21805000,박지훈
2025,9,대구,전자제품,태블릿 Tab8,65,650000,42250000,최수아
2025,9,인천,전자제품,노트북 A15,45,1200000,54000000,정우진
2025,9,인천,가전,로봇청소기 RoboClean,58,480000,27840000,정우진
2025,10,서울,전자제품,노트북 A15,95,1200000,114000000,김민준
2025,10,서울,전자제품,무선이어폰 Pro,560,89000,49840000,김민준
2025,10,서울,전자제품,태블릿 Tab8,130,650000,84500000,이서연
2025,10,서울,가전,공기청정기 Clean10,80,350000,28000000,이서연
2025,10,부산,전자제품,노트북 A15,65,1200000,78000000,박지훈
2025,10,부산,전자제품,태블릿 Tab8,88,650000,57200000,박지훈
2025,10,대구,전자제품,노트북 A15,38,1200000,45600000,최수아
2025,10,인천,전자제품,무선이어폰 Pro,198,89000,17622000,정우진
2025,10,인천,가전,로봇청소기 RoboClean,70,480000,33600000,정우진
2025,11,서울,전자제품,노트북 A15,110,1200000,132000000,김민준
2025,11,서울,전자제품,무선이어폰 Pro,620,89000,55180000,김민준
2025,11,서울,전자제품,태블릿 Tab8,145,650000,94250000,이서연
2025,11,부산,전자제품,노트북 A15,72,1200000,86400000,박지훈
2025,11,부산,전자제품,무선이어폰 Pro,290,89000,25810000,박지훈
2025,11,대구,전자제품,태블릿 Tab8,75,650000,48750000,최수아
2025,11,인천,전자제품,노트북 A15,50,1200000,60000000,정우진
2025,11,인천,가전,로봇청소기 RoboClean,80,480000,38400000,정우진
2025,12,서울,전자제품,노트북 A15,125,1200000,150000000,김민준
2025,12,서울,전자제품,무선이어폰 Pro,700,89000,62300000,김민준
2025,12,서울,전자제품,태블릿 Tab8,160,650000,104000000,이서연
2025,12,서울,가전,공기청정기 Clean10,90,350000,31500000,이서연
2025,12,부산,전자제품,노트북 A15,85,1200000,102000000,박지훈
2025,12,부산,전자제품,태블릿 Tab8,100,650000,65000000,박지훈
2025,12,대구,전자제품,노트북 A15,45,1200000,54000000,최수아
2025,12,대구,전자제품,무선이어폰 Pro,180,89000,16020000,최수아
2025,12,인천,전자제품,노트북 A15,60,1200000,72000000,정우진
2025,12,인천,가전,로봇청소기 RoboClean,92,480000,44160000,정우진
